title,status,genres,favorites,popularity,rank,score,authors
I Woke Up as the Ugly Duckling,Publishing,Fantasy,1,#11179,#14879,6.5,"Jung, Haim (Story), Kang, Seah (Art)"
My Three Tyrant Brothers,Publishing,Fantasy,1,#11834,#14882,6.5,"Jomil (Story), Parkha (Art), Eundu (Art)"
Drug Devourer,Publishing,"Action, Fantasy",0,#17640,#14883,6.5,"Aro (Story), Ben (Art)"
I Want You,Finished,Romance,1,#15751,#14940,6.5,"Won, Soo-yeon (Story & Art)"
9 Faces of Love,Finished,"Love, Drama, Fantasy, Romance, Sci-Fi, Supernatural",4,#10956,#14967,6.49,Wann (Story & Art)
Dating With a Tail,Finished,"Romance, Supernatural",0,#17903,#14984,6.49,"Jinha (Story), Hepon (Art)"
One Pair Lady,Finished,Fantasy,0,#22568,#14985,6.49,"Yojeongyong (Story), Ju, Eonkyum (Art)"
"Let's Get a Divorce, Husband!",Finished,"Fantasy, Romance",1,#17258,#14986,6.49,"Maru Gongbang (Art), Rantesias (Story)"
I Became a Renowned Family's Sword Prodigy,Publishing,"Action, Fantasy",0,#10070,#14987,6.49,"Maru Gongbang (Art), Jeonwook (Story)"
No Marriage Is Perfect,Publishing,Romance,0,#20956,#14988,6.49,"Lee, Dahong (Story), Choi (Art)"
The Beautiful Curse,Finished,Fantasy,0,#24828,#15092,6.48,
Ice Ice Baby,Finished,Romance,0,#25876,#15097,6.48,"Lee, Yoo-Jung (Story & Art)"
The Adventures of a Demon King's Daughter,Finished,"Adventure, Fantasy, Romance",3,#10790,#15112,6.48,"Eunmin (Art), Yeowool (Story)"
Am I Your Daughter?,Finished,Fantasy,2,#10974,#15113,6.48,"Lee, Young-You (Art), Flow (Story)"
Your Regrets Mean Nothing to Me,Publishing,"Drama, Fantasy",0,#16709,#15114,6.48,"Gaonnarabit (Story), Jeje (Art)"
The Emperor's Partner,Finished,"Fantasy, Romance",3,#16858,#15115,6.48,"Lee, Surim (Story), Bammanju (Art)"
I Bid You Adieu,Finished,Fantasy,0,#23713,#15117,6.48,"Yun, Yeoeum (Story), Io (Art)"
Savior,Finished,"Drama, Love, Supernatural",2,#22868,#15118,6.48,"Junqi (Story), Jo9 (Art)"
Knockin' on the Dungeon Door,Publishing,"Action, Adventure, Fantasy",0,#13922,#15119,6.48,"Jeongmin (Story), Jin (Art)"
Level 1 Player,Publishing,"Action, Adventure, Fantasy",3,#7894,#15120,6.48,"Song, Chihyun (Story), Bang, Eunwoo (Art)"
Searching for My Father,Publishing,Fantasy,0,#19123,#15121,6.48,"Blooming Bouquet (Story), Ongnyo (Art)"
All Hail Lady Blanche!,Publishing,"Fantasy, Romance",1,#17601,#15122,6.48,"Eun, Na-mok (Story), SJK (Art)"
My Lovable Fatty,Finished,"Comedy, Fantasy, Romance",3,#15168,#15210,6.47,"Lee, Hee Jeong (Story & Art)"
The Evil Cinderella Needs a Villain,Finished,"Fantasy, Romance",0,#19704,#15226,6.47,"Gong, Eunhwa (Story), Bbiyak (Art)"
Lucky Striker,Publishing,"Action, Fantasy",0,#14438,#15228,6.47,"ZOD (Story), Joyakdol (Art)"
